titulo,fecha,recinto,hora,duración,precio,descripción,link_compra,imagen url
Concierto Barrios Orquestados,19 de Nov.,AUDITORIO ALFREDO KRAUS,19:00,No definido,Desde 10.00 €,"Barrios Orquestados celebra su concierto benéfico de invierno con una actuación de los niños y niñas de Gran Canaria, junto al coro de sus familiares, y con la colaboración especial de Marina Carmona, una de las voces más destacadas en la actualidad del panorama musical español.
De la mano de José Brito, más de 200 estudiantes de música, además del canto coral y del coro de Sensibilización Musical, subirán al escenario para mostrar todo el trabajo que llevan realizando durante el curso. 

Barrios Orquestados ofrecerá su concierto de final de temporada, concierto de invierno, con la colaboración especial de la Fundación Auditorio y Teatro de Las Palmas de Gran Canaria. Como cada año contarán con la colaboración de un artista invitado emergente o de largo recorrido. En esta ocasión compartirán escenario con Marina Carmona, una de las voces más destacadas en la actualidad del panorama musical español, e hija del insigne Antonio Carmona de Ketama.
En esta actuación solidaria, el alumnado y familiares de las sedes de Tamaragua (fusión de los barrios de Tamaraceite + Guanarteme), Ciudad Alta, Riscono (fusión de Risco de San Nicolás + Cono Sur), Jinámar, Montaña Los Vélez y La Isleta mostrarán todo el trabajo que llevan realizando durante el curso. Subirán al escenario con un artista invitada muy especial.
En este espectáculo benéfico participan cerca de 200 alumnos y alumnas que estudian instrumentos como el violín, viola, violonchelo, contrabajo, flauta, clarinete, requinto y el saxo, además de canto coral, con el apoyo del coro de Sensibilización Musical en el que participan más de 80 familiares. La gran orquesta hará gala de su talento y esfuerzo desempeñado gracias a la metodología musical desde lo social que impulsa Barrios Orquestados.
Barrios Orquestados es un proyecto pedagógico con fines artísticos, social y de carácter pedagógico, que pretende crear orquestas de cuerda frotada (violines, violas, violonchelos y contrabajos) en todos los barrios periféricos de las islas del Archipiélago canario que tienen necesidades especiales a nivel social y cultural.  Fue Imaginado por el músico José Brito, el 9 de abril de 2012 y  la iniciativa ya ha llegado a muchos de los niños de Gran Canaria, Tenerife, Lanzarote y Fuerteventura. 
Con once años de historia, Barrios Orquestados atiende a día de hoy a más 380 alumnos y a 230 familiares de Canarias, que cada día reciben formación musical de manera gratuita y sin necesidad de adquirir un instrumento ya que la organización lo facilita en calidad de préstamo.
En el año 2018 Barrios Orquestados dio su primer salto internacional para la implantación del proyecto, trasladándose hasta Honduras. Respondiendo a la invitación cursada por la ONG local ACOES y el grupo Canarias con Honduras, un equipo de profesionales formó a jóvenes voluntarios, trabajando con un numeroso grupo de niños y niñas y sus familiares, en la colonia Ramón Amador de Tegucigalpa. En 2019 volvió a repetir la experiencia, creando un nuevo grupo en la colonia Nueva Capital, también de Tegucigalpa. Así mismo, su expansión internacional les ha llevado a implantarse en Lo Abarca (Chile).
Su gestión corre a cargo de la Asociación Cultural Orquesta Clásica Béla Bartók, que cuenta con el apoyo de diversas instituciones y empresas privadas. La inestimable confianza depositada durante este periodo ha permitido que Barrios Orquestados continúe creciendo cada año. 
A estas colaboraciones hay que sumar en esta ocasión la que ofrece para este concierto especialmente la Fundación Canaria Auditorio y Teatro de Las Palmas de Gran Canaria.",https://entrees.es/checkout/concierto-barrios-orquestados/10075,https://media.entrees.es/4db8c678d459aa9f85b0a1499b176ccb.webp?q=5518c47dc4398772358c5d9378871dac
XXI Homenaje a Alfredo Kraus,24 de Nov.,AUDITORIO ALFREDO KRAUS,20:00,No definido,Desde 12.00 €,"Como cada año, la Fundación Auditorio y Teatro de Las Palmas de Gran Canaria rinde homenaje al tenor Alfredo Kraus en el día del aniversario de su nacimiento. En esta ocasión, los intérpretes del concierto a celebrar serán la soprano Yolanda Auyanet, el maestro Karel Mark Chichon y la Orquesta Filarmónica de Gran Canaria.

Desde 2002, la Fundación Auditorio y Teatro de Las Palmas de Gran Canaria rinde homenaje a la figura del ilustre grancanario en el día del aniversario de su nacimiento, con un tradicional evento musical que lo recuerda.
El XXI Homenaje a Alfredo Kraus consistirá en un concierto sinfónico vocal que cuenta con la colaboración del Cabildo de Gran Canaria, la Fundación Orquesta Filarmónica de Gran Canaria y la Fundación Internacional Alfredo Kraus.
La conmemoración de este año dará comienzo con una ofrenda floral ante el busto de Alfredo Kraus que preside el hall del Auditorio que lleva su nombre. A este acto seguirá, el viernes 24 de noviembre a las 20:00 horas, un concierto protagonizado por la soprano Yolanda Auyanet, el maestro Karel Mark Chichon y la Orquesta Filarmónica de Gran Canaria.",https://entrees.es/checkout/xxi-homenaje-a-alfredo-kraus/11113,https://media.entrees.es/c77382d42d6466dbc200fd241cb09888.webp?q=ba1acca2aa2a54be54c3184956e7b62d
Mararía la de Femés,24 de Nov.,Teatro Municipal Juan Ramón Jiménez,20:30,1 Horas,10.00 €,"Mararía la de Femés
  Mararía la de Femés: la innovadora versión de Yeray Rodríguez y Mario Vega inspirada en la obra canaria de Arozarena
Este año 2023 se celebra el centenario del nacimiento del escritor tinerfeño Rafael Arozarena (1923-2009) y, además, se cumple el cincuenta aniversario de su clásico de la literatura canaria Mararía (1973).
Y en este año, también dos artistas canarios, Yeray Rodríguez y Mario Vega presentan en Segunda Lectura: ‘Mararía la de Femés’, una oportunidad de reflexión sobre la herencia de un patriarcado instalado en la genética histórica y social que ha llegado a nuestros días en la voz de muchas Marías, de todas las Marías.
Yeray Rodríguez es el artífice de esta versión innovadora que da voz a una Mararía silenciada y relegada al olvido porque, según el propio Arozarena, “ahora por estar vieja nadie recuerda quién fue”. Esta revisitación de una de las obras cumbre de nuestra literatura se consigue debido a que la historia que destaca el autor no es solo la historia de Mararía la de Femés, es la historia de todas las Marías, de todas esas mujeres desplazadas, marginadas y olvidadas.
Por su parte, Mario Vega imprime el sello estético en sus montajes, con un imaginario amplio y rico en multitud de universos, códigos y lenguajes, desde el patrimonio cultural de la literatura canaria.
El diseño de la propuesta está pensado para conseguir una atemporalidad de la versión, por lo que se produce una descontextualización en toda la estética del montaje. Además, la creatividad de la pieza se manifiesta en el espacio sonoro. De esta manera, se da en todo momento una multiplicidad de lenguajes, pues conversan la música y la poesía con distintos códigos audiovisuales y teatrales.
Me llamo María y soy de Femés, del sur y de abajo. Me llamo María, pero soy muchas marías. Todas las marías: las que llevan calladas desde antes de nacer y las que llevan gritando sin ser escuchadas desde que se cuenta el tiempo. Todas las bocas me apuntan, todos los dedos me señalan y todos los ojos me buscan, pero ningún oído me conoce. Es hora de dar voz a las marías, que han sido muchos siglos de silencio. Es hora de juntar en mi garganta la amarga soledad de tantas vidas y es hora de brindar por las valientes, que fueron ellas mismas pese a todo. Me llamo María y soy de Femés, del sur del sur. Soy todas las marías, tengo todos los nombres y todas las tragedias y guardo bajo mi piel de volcán, palabras que hierven, que no tienen sentido bajo tierra.
Mararía, la de Femés",https://entrees.es/checkout/mararia-la-de-femes-juan-ramon/11086,https://media.entrees.es/d345cfafa2b39a622221a78d629dc844.webp?q=a967c5ad6fbb86bcb7a7992fa4a3568c
CONCHITA EN CONCIERTO,24 de Nov.,Teatro Víctor Jara,20:30,1 Horas 30 Minutos,Desde 15.00 €,"Conchita es una compositora, multinstrumentista y cantante española, que pasó gran parte de su niñez en Francia, por lo que sus creaciones se han visto a menudo influenciadas por la cultura de este país.
Si tenemos que definir la música de Conchita en pocas palabras podemos decir que esta autora confecciona himnos para las pequeñas cosas que hacen la vida más feliz y bonita.
Ahora llega para presentar su nuevo disco “La bola de nieve”, diez canciones que pasan por todo tipo de emociones, canciones que te harán bailar, llorar, pensar, y replantearte muchas cosas.
Una explosión de sonido y colores con canciones como ""Cualquiera menos yo"", ""No soy yo, eres tú"" o ""Por las veces""",https://entrees.es/checkout/conchita-en-concierto/10824,https://media.entrees.es/0972f55eef547b9d9131aff4dbbefc7a.jpg
ESPERANDO A LUCKY,25 de Nov.,TEATRO PÉREZ GALDÓS,18:00,No definido,Desde 7.50 €,"Fantasía y aventura en esta función para toda la familia. Una divertida historia con música en directo que hará las delicias de niños, niñas y mayores.",https://entrees.es/checkout/esperando-a-lucky/10984,https://media.entrees.es/4ca836d852708128aee0d0fef524ffa3.webp?q=0d214260f3c4c9e1d8b5297c3381f681
SATURDAY NIGHT Disco,Varias fechas,AUDITORIO ALFREDO KRAUS,HORAS EN ENLACE DE COMPRA,No definido,Desde 40.00 €,"El mayor espectáculo con los nº 1 de la música disco en todo el mundo. 
Una mega producción basada en el movimiento musical de la discoteca STUDIO 54 de Nueva York, a través del programa de radio 'SATURDAY NIGHT Disco' de la emisora más importante de la ciudad de los rascacielos, y donde cada noche nos deleita con los hits más influyentes que revolucionaron las pistas de baile de todo el planeta.
Un apasionante espectáculo con las Canciones que cambiaron las tendencias, los estilos y las modas en todo el globo.
Desde Barry White, Donna Summer, Gloria Gaynor, Tina Charles o Bee Gees, hasta Kool & The Gang, Village People, Earth Wind & Fire ... 
Cantantes internacionales
Bailarines
Gran banda disco compuesta por prestigiosos músicos
Espectacular escenario a distintas alturas
Imponente despliegue de sonido, luces, pantallas…
¡Déjate llevar por el espectáculo que te hará vibrar desde el primer minuto!",https://entrees.es/checkout/saturday-night-disco/10659,https://media.entrees.es/f722914860151f9c723b70ab08bc1e03.webp?q=2375bf2d09f0c21c569cc73224e7de69
GRUPOS MÍTICOS. CONCIERTO DE SANTA CECILIA,25 de Nov.,Teatro Víctor Jara,20:00,1 Horas 30 Minutos,Desde 7.00 €, ,https://entrees.es/checkout/grupos-miticos-concierto-de-santa-cecilia/11028,https://media.entrees.es/e0597919d84333afebdd5acce94e2e55.jpg
LOS ZIGARROS - Gira ACANTILADOS,25 de Nov.,Teatro Municipal Juan Ramón Jiménez,20:30,1 Horas,25.00 €,"LOS ZIGARROS - Gira ACANTILADOS
  Los chicos atacan de nuevo, y de qué manera. Tras cuatro años de silencio discográfico lanzan su primer álbum con Cultura Rock Records. Su acertado título, Acantilados, es una definición gráfica de su contenido. Altura, vértigo, riesgo al recorrer terrenos no transitados. Porque en su interior encontramos a Los Zigarros que todos conocemos, pero se desplazan hacia territorios adyacentes, enriqueciendo su propuesta. Mantienen su mordiente, su punch, esos riffs que cortan la respiración, pero añaden arreglos pluscuamperfectos y ajustados, detalles que aparecen cuando menos lo esperas y unas letras que exponen las diferentes caras del amor.

Amor, sí. El disco es una explícita declaración de amor, con el éxtasis que produce dejar que penetre en tu interior y las dudas que siempre provoca el inicio de una relación a tumba abierta. La expresiva voz de Ovidi viaja por él, por el amor, y lo hace desnudándose sin ocultar ninguna carta en la manga. No hay trampas. Hay sentimientos cabalgando sobre implacables melodías rock, ese rock que les ha situado en cabeza de la escena musical nacional.

Así, al boogie marca de la casa, dirigiendo piezas como ""Acantilados"" o ""Rock rápido"", y a esas siempre presentes influencias de los sonidos acuñados en los 70's, escúchese ""Casarme contigo"", ""Como quisiera"" o un ""No pain no gain"" puro Stone, le suman ahora canciones como ""Por fin"" o ""Barcelona"", que podría haber firmado en su momento el mejor Ian Hunter junto a sus Mott The Hoople. E incluso se marcan un paseo por ritmos cercanos a la música disco en la bailable ""100.000 bolas de cristal"". Influencias añejas para un sonido fresco y una interpretación sobresaliente. Su base rítmica nunca falla, sus guitarras tampoco, y la mayor presencia de teclados enriquece poderosamente el resultado. Cuando llegas a la desnuda despedida bautizada ""El monstruo"", resulta imposible no regresar a la casilla de salida.

Producido por Leiva y grabado en el Estudio 1 de Colmenar Viejo, Acantilados debe haber supuesto un serio problema a la hora de escoger los singles del mismo: hay mucho y muy bueno donde elegir, como demuestra el primer adelanto, ""Aullando en el desierto"". Un éxito en potencia. Uno más entre once candidatos. ¿Su mejor disco hasta el momento? Pueden apostar que sí sin miedo a perder...

ALFRED CRESPO. (RUTA 66)

BANDA
Ovidi Tormo: Voz principal y guitarras
Álvaro Tormo: Guitarras
Natxo Tamarit: Bajo y coros
Adrián Ribas: Batería y coros.",https://entrees.es/checkout/los-zigarros-gira-acantilados/11016,https://media.entrees.es/16b40ad9fcb209562803cd291b4f6fda.webp?q=af97b3f222f9552957e899f7dda0e952
MARIA PELAE,26 de Nov.,AUDITORIO ALFREDO KRAUS,19:00,No definido,Desde 27.00 €,"Festival Mar Abierto cierra su 17ª temporada con la versatilidad, mezcla de ritmos, teatralidad, diversión y flamencura de la cantautora malagueña María Peláe.

Festival Mar Abierto concluye su 17ª temporada con una artista única y que no deja indiferente a nadie, María Peláe. La cantautora malagueña, con más de doce años de carrera musical a sus espaldas, se caracteriza por sus letras comprometidas y elaboradas, cargadas de crítica social y la mezcla de ésta con el sonido más actual. Música con acento andaluz y de producción internacional, original donde las haya hasta ser tan popular para convertirse en el dicho “Esto suena a Peláe” que se oye mucho en los mentideros musicales. 
Peláe nos presenta un show donde la teatralidad, la diversión, la flamencura; así como sus ya característicos pregones no pasan desapercibidos, un directo completo y comprometido que consigue llevarte de la risa a la emoción en cuestión de segundos.
María Peláe saca su primer disco de estudio 'Hipocondría' en 2016 financiado a través de crowdfunding. Pero no es hasta de 2019 cuando se mete de lleno en un nuevo proyecto completamente innovador: su single En casa de herrero, que presenta en el escenario del Pride. Después llegó La Niña. Le sigue: Y quien no, La Confesión, La Quería... Todo un repertorio fresco y lleno de mensaje con el que se lanza en 2020 a la 'Gira La Niña', colgando el cartel de soldout en la mayoría de salas y teatros, incluidos la mítica sala de La Riviera en Madrid, la Plaza de Toros de Málaga, o el Teatro Circo Price de Madrid. Un año después, inicia una nueva gira, 'La Que Estoy Formando', en la que estrena su último single Mi tío Juan, y con la que  vuelve a revolucionar el panorama musical.
 ",https://entrees.es/checkout/maria-pelae-/10973,https://media.entrees.es/460be6c4cbe5160a091515f00b835310.webp?q=6c0dbc3bae64996e0796eba6be3f4e83
EN OTRA CLAVE,29 de Nov.,Teatro Cuyás,20:00,No definido,Desde 10.00 €,"En Otra Clave es el programa de ficción más visto de la Televisión Canaria. Parte de su éxito se explica por su formato que le permite mantenerse cercano al público. Se trata de un show itinerante que recorre los teatros de las Islas para realizar las grabaciones de cada capítulo.

Esto le permite contar con música en directo gracias a los componentes de su banda. El formato teatro-televisivo permite que el público pueda disfrutar del humor de En Otra Clave en directo desde los teatros y en su retransmisión por la Televisión Canaria.",https://entrees.es/checkout/en-otra-clave-cuyas/10160,https://media.entrees.es/1b48e02ccf86d147844fb1d0debbc38a.webp?q=f45574117eab03649a494d23bc3e653b
